onion_id	id	spotify_id	popularity	release	danceability	energy	key	mode	valence	tempo	duration_ms
onion::0010xmHR6UICBOYT	0010xmHR6UICBOYT	27szvF97Tu95GxN98N52fy	46.0	2013	0.591	0.513	7.0	0.0	0.263	172.208	325096
onion::01Kgo55olDKOHxQz	01Kgo55olDKOHxQz	06cCziAHtDg6pcsidZHu03	59.0	2013	0.617	0.7040000000000001	4.0	1.0	0.358	99.804	254510
onion::04iitW3ffa0mhpx3	04iitW3ffa0mhpx3	34ceTg8ChN5HjrqiIYCn9Q	65.0	2008	0.6729999999999999	0.6829999999999999	1.0	1.0	0.713	171.86	232000
onion::083o6BTQGwgM2L49	083o6BTQGwgM2L49	38JojmlSYWpjzCsjS3MJcf	36.0	2009	0.63	0.631	6.0	0.0	0.708	111.986	186200
onion::091E0oFGS6sBravV	091E0oFGS6sBravV	7CdGO6KJg20UAAXl7CW8q6	40.0	1989	0.35600000000000004	0.983	6.0	1.0	0.19	137.374	149133
onion::09AOCIB5yktoz8B5	09AOCIB5yktoz8B5	773xZHHSHJvC1z3AAtWgH6	63.0	2013	0.446	0.76	7.0	1.0	0.512	150.033	308388
onion::0Ev84ceMs40159oJ	0Ev84ceMs40159oJ	6NGvyhGjKSKkyN3yc4YNhD	46.0	2011	0.443	0.865	4.0	1.0	0.474	110.008	203880
onion::0GohjZ4zTigF1LeU	0GohjZ4zTigF1LeU	5fQBa4wkmq28xpSLOQ202K	60.0	2017	0.622	0.532	0.0	1.0	0.364	76.459	253587
onion::0IOVWAhbdf1CsekA	0IOVWAhbdf1CsekA	2gTnu5RZNVFVnWdjLnyUA5	51.0	1979	0.251	0.14800000000000002	0.0	1.0	0.0569	208.486	203361
onion::0JxOPeLv6rBhDdLJ	0JxOPeLv6rBhDdLJ	33BnSMHgX0AsbKSIbkuMwh	54.0	2011	0.775	0.281	10.0	0.0	0.0398	139.951	276720
onion::0L7SiX9rxLK9FaP5	0L7SiX9rxLK9FaP5	2OIca10vMnqiJyDELHiPJb	38.0	2008	0.218	0.995	11.0	1.0	0.162	158.441	435453
onion::0LilX8uubIxpMHiJ	0LilX8uubIxpMHiJ	6M4yg3BknyHmRnsvlkuHD5	50.0	1987	0.207	0.967	4.0	1.0	0.598	202.423	144973
onion::0RKIUAOJaWQNCWyz	0RKIUAOJaWQNCWyz	1lh3TnDpfNBNfLfOWghNnp	58.0	1994	0.762	0.654	10.0	1.0	0.925	102.059	208867
onion::0SfrHQUFwn6SA1YH	0SfrHQUFwn6SA1YH	4c4jJJoaiY21t2TyRZgdWS	68.0	1968	0.64	0.6509999999999999	4.0	0.0	0.8009999999999999	111.676	271573
onion::0TanEa2QCnKAedsL	0TanEa2QCnKAedsL	1KzNsOkpQthVwpCJrADJEQ	62.0	2017	0.745	0.7440000000000001	9.0	1.0	0.451	162.965	184964
onion::0XKrI3m6kDLxvSM1	0XKrI3m6kDLxvSM1	59kHPbwyyCApYA8RQQEuXm	64.0	1992	0.606	0.706	0.0	1.0	0.8190000000000001	174.533	148160
onion::0XLHpCpo3FwyjQN8	0XLHpCpo3FwyjQN8	6HFywc5eQYRRYHYTatCb5Y	61.0	2014	0.565	0.862	4.0	1.0	0.647	122.994	229040
onion::0Y5TcGlWJnW7IVdK	0Y5TcGlWJnW7IVdK	1ZPlNanZsJSPK5h9YZZFbZ	68.0	1984	0.773	0.6559999999999999	3.0	0.0	0.971	119.754	218627
onion::0YX2G4DtUgctpJXo	0YX2G4DtUgctpJXo	6fsLjItlUmbpl16SGi2COD	32.0	2009	0.74	0.871	10.0	0.0	0.541	106.694	828360
onion::0aPFuNIOJUF0vdxX	0aPFuNIOJUF0vdxX	7uEcCGtM1FBBGIhPozhJjv	65.0	1968	0.51	0.488	7.0	1.0	0.649	125.683	179613
onion::0gx2q0M2oRaSjKn1	0gx2q0M2oRaSjKn1	16Fp67kTFhH0XK5Cl6Oz7r	50.0	2002	0.38	0.797	8.0	1.0	0.206	118.64	366560
onion::0h8G1bhVFVP6G9Km	0h8G1bhVFVP6G9Km	33ZJkoSI4m9RzT4rZUthGn	38.0	2011	0.557	0.7090000000000001	1.0	0.0	0.154	119.959	240627
onion::0kLmYF9ryiLpl4Ik	0kLmYF9ryiLpl4Ik	67cdrrKC32SfLTcYMPDfcK	36.0	2012	0.713	0.7390000000000001	6.0	1.0	0.823	130.954	261653
onion::0ng9VQtWuSjd0arq	0ng9VQtWuSjd0arq	4G8gkOterJn0Ywt6uhqbhp	69.0	2012	0.448	0.784	9.0	1.0	0.236	136.245	186813
onion::0rrZTnbjrMnPs6bt	0rrZTnbjrMnPs6bt	3rBOkpPCniY6AxOIavGGsg	52.0	2016	0.64	0.394	0.0	1.0	0.477	159.95600000000005	281813
onion::0vd7SREH018NTDta	0vd7SREH018NTDta	0DAmSYQW9kq9gQNDI002KP	52.0	1971	0.405	0.152	0.0	1.0	0.383	61.34	245040
